F1,Accuracy,Jaccard,Train Time,Inference Rate
0.871 ± 0.066,0.860 ± 0.071,0.777 ± 0.100,25.07 ± 0.56,
0.709 ± 0.033,0.672 ± 0.027,0.550 ± 0.040,,1.95 ± 0.25
