F1,Accuracy,Jaccard,Train Time,Inference Rate
0.501 ± 0.011,0.502 ± 0.005,0.335 ± 0.010,31.02 ± 2.10,
0.528 ± 0.061,0.508 ± 0.007,0.361 ± 0.057,,5.16 ± 0.69
