F1,Accuracy,Jaccard,Train Time,Inference Rate
0.753 ± 0.053,0.795 ± 0.043,0.625 ± 0.063,2.19 ± 0.04,
0.679 ± 0.030,0.669 ± 0.029,0.514 ± 0.035,,73.66 ± 13.97
