F1,Accuracy,Jaccard,Train Time,Inference Rate
0.73 ± 0.05,0.71 ± 0.05,0.59 ± 0.04,0.40 ± 0.02,
0.71 ± 0.06,0.65 ± 0.04,0.56 ± 0.07,,1.64 ± 0.03
