F1,Accuracy,Jaccard,Train Time,Inference Rate
0.983 ± 0.031,0.985 ± 0.028,0.972 ± 0.051,6.44 ± 0.09,
0.679 ± 0.030,0.661 ± 0.024,0.515 ± 0.035,,1.30 ± 0.02
