F1,Accuracy,Jaccard,Train Time,Inference Rate
0.966 ± 0.066,0.964 ± 0.070,0.948 ± 0.100,0.31 ± 0.01,
0.711 ± 0.047,0.676 ± 0.029,0.554 ± 0.058,,0.86 ± 0.02
