F1,Accuracy,Jaccard,Train Time,Inference Rate
0.68 ± 0.03,0.70 ± 0.03,0.52 ± 0.03,29.53 ± 1.71,
0.58 ± 0.04,0.60 ± 0.05,0.41 ± 0.04,,5.84 ± 1.43
