F1,Accuracy,Jaccard,Train Time,Inference Rate
0.507 ± 0.011,0.507 ± 0.008,0.343 ± 0.010,37.88 ± 3.49,
0.699 ± 0.098,0.576 ± 0.084,0.545 ± 0.116,,1.78 ± 0.07
