F1,Accuracy,Jaccard,Train Time,Inference Rate
0.634 ± 0.016,0.622 ± 0.012,0.464 ± 0.017,25.07 ± 0.56,
0.636 ± 0.076,0.651 ± 0.040,0.471 ± 0.086,,1.95 ± 0.25
