F1,Accuracy,Jaccard,Train Time,Inference Rate
0.976 ± 0.013,0.982 ± 0.009,0.955 ± 0.023,8.17 ± 0.46,
0.603 ± 0.037,0.672 ± 0.028,0.462 ± 0.037,,0.52 ± 0.07
