F1,Accuracy,Jaccard,Train Time,Inference Rate
0.70 ± 0.03,0.66 ± 0.04,0.55 ± 0.03,0.47 ± 0.03,
0.67 ± 0.04,0.63 ± 0.03,0.52 ± 0.04,,1.30 ± 0.02
