F1,Accuracy,Jaccard,Train Time,Inference Rate
0.990 ± 0.007,0.988 ± 0.008,0.980 ± 0.013,1.46 ± 0.07,
0.716 ± 0.051,0.673 ± 0.038,0.560 ± 0.064,,1.08 ± 0.07
