F1,Accuracy,Jaccard,Train Time,Inference Rate
0.870 ± 0.046,0.853 ± 0.055,0.773 ± 0.074,15.35 ± 0.44,
0.662 ± 0.058,0.647 ± 0.038,0.497 ± 0.067,,1.60 ± 0.20
