F1,Accuracy,Jaccard,Train Time,Inference Rate
0.985 ± 0.017,0.985 ± 0.017,0.974 ± 0.028,6.04 ± 0.10,
0.701 ± 0.021,0.667 ± 0.016,0.540 ± 0.025,,1.65 ± 0.02
