F1,Accuracy,Jaccard,Train Time,Inference Rate
0.854 ± 0.119,0.842 ± 0.128,0.762 ± 0.164,25.07 ± 0.56,
0.687 ± 0.051,0.667 ± 0.025,0.525 ± 0.058,,1.95 ± 0.25
