F1,Accuracy,Jaccard,Train Time,Inference Rate
0.55 ± 0.02,0.56 ± 0.02,0.38 ± 0.01,3.61 ± 0.04,
0.63 ± 0.03,0.58 ± 0.02,0.46 ± 0.04,,1.42 ± 0.01
