F1,Accuracy,Jaccard,Train Time,Inference Rate
0.51 ± 0.01,0.50 ± 0.01,0.34 ± 0.01,38.51 ± 2.58,
0.71 ± 0.07,0.59 ± 0.08,0.56 ± 0.09,,1.96 ± 0.16
