F1,Accuracy,Jaccard,Train Time,Inference Rate
0.702 ± 0.050,0.643 ± 0.053,0.545 ± 0.055,0.33 ± 0.01,
0.700 ± 0.039,0.631 ± 0.033,0.539 ± 0.046,,0.98 ± 0.06
