F1,Accuracy,Jaccard,Train Time,Inference Rate
0.553 ± 0.038,0.508 ± 0.034,0.388 ± 0.030,0.59 ± 0.03,
0.658 ± 0.047,0.596 ± 0.043,0.507 ± 0.060,,1.83 ± 0.68
