F1,Accuracy,Jaccard,Train Time,Inference Rate
0.69 ± 0.02,0.71 ± 0.02,0.53 ± 0.03,3.72 ± 0.02,
0.60 ± 0.04,0.62 ± 0.05,0.43 ± 0.04,,1.75 ± 0.02
