F1,Accuracy,Jaccard,Train Time,Inference Rate
0.969 ± 0.040,0.977 ± 0.031,0.952 ± 0.055,2.38 ± 0.12,
0.684 ± 0.038,0.669 ± 0.025,0.521 ± 0.045,,67.95 ± 13.71
