F1,Accuracy,Jaccard,Train Time,Inference Rate
0.990 ± 0.013,0.990 ± 0.013,0.981 ± 0.022,6.34 ± 0.27,
0.701 ± 0.027,0.667 ± 0.027,0.540 ± 0.034,,1.62 ± 0.02
