F1,Accuracy,Jaccard,Train Time,Inference Rate
0.943 ± 0.014,0.938 ± 0.014,0.892 ± 0.025,15.49 ± 0.31,
0.679 ± 0.041,0.655 ± 0.022,0.515 ± 0.048,,1.61 ± 0.20
