F1,Accuracy,Jaccard,Train Time,Inference Rate
0.942 ± 0.069,0.943 ± 0.068,0.907 ± 0.111,4.41 ± 0.18,
0.674 ± 0.038,0.661 ± 0.028,0.510 ± 0.045,,1.32 ± 0.01
