F1,Accuracy,Jaccard,Train Time,Inference Rate
0.934 ± 0.076,0.947 ± 0.062,0.909 ± 0.101,2.49 ± 0.05,
0.678 ± 0.039,0.668 ± 0.023,0.514 ± 0.046,,65.17 ± 11.41
