F1,Accuracy,Jaccard,Train Time,Inference Rate
0.49 ± 0.03,0.50 ± 0.00,0.33 ± 0.02,40.89 ± 1.58,
0.54 ± 0.14,0.55 ± 0.04,0.39 ± 0.13,,2.91 ± 0.15
