Input,Model Name,F1 (Frame),Accuracy (Frame),Jaccard (Frame),Training Time (s)
video,TeCNo,0.684 ± 0.038,0.669 ± 0.025,0.521 ± 0.045,2.38 ± 0.12
video,TransSVNet,0.662 ± 0.058,0.647 ± 0.038,0.497 ± 0.067,15.35 ± 0.44
video,COG,0.687 ± 0.051,0.667 ± 0.025,0.525 ± 0.058,25.07 ± 0.56
kinematics,TeCNo,0.679 ± 0.030,0.669 ± 0.029,0.514 ± 0.035,2.19 ± 0.04
kinematics,TransSVNet,0.630 ± 0.026,0.611 ± 0.011,0.461 ± 0.027,15.15 ± 0.33
kinematics,COG,0.636 ± 0.076,0.651 ± 0.040,0.471 ± 0.086,25.07 ± 0.56
multimodal,TeCNo,0.678 ± 0.039,0.668 ± 0.023,0.514 ± 0.046,2.49 ± 0.05
multimodal,TransSVNet,0.679 ± 0.041,0.655 ± 0.022,0.515 ± 0.048,15.49 ± 0.31
multimodal,COG,0.709 ± 0.033,0.672 ± 0.027,0.550 ± 0.040,25.07 ± 0.56
