F1,Accuracy,Jaccard,Train Time,Inference Rate
0.75 ± 0.03,0.73 ± 0.02,0.60 ± 0.04,0.30 ± 0.02,
0.69 ± 0.06,0.63 ± 0.02,0.54 ± 0.07,,1.17 ± 0.07
