F1,Accuracy,Jaccard,Train Time,Inference Rate
0.55 ± 0.02,0.57 ± 0.03,0.38 ± 0.02,25.71 ± 4.91,
0.66 ± 0.05,0.60 ± 0.01,0.49 ± 0.05,,2.93 ± 0.86
