F1,Accuracy,Jaccard,Train Time,Inference Rate
0.995 ± 0.001,0.995 ± 0.002,0.991 ± 0.003,0.32 ± 0.01,
0.704 ± 0.033,0.674 ± 0.024,0.544 ± 0.040,,82.03 ± 13.94
