F1,Accuracy,Jaccard,Train Time,Inference Rate
0.672 ± 0.044,0.727 ± 0.041,0.529 ± 0.048,8.33 ± 0.53,
0.546 ± 0.061,0.637 ± 0.015,0.402 ± 0.057,,0.18 ± 0.02
