F1,Accuracy,Jaccard,Train Time,Inference Rate
0.57 ± 0.02,0.52 ± 0.02,0.40 ± 0.02,11.19 ± 0.40,
0.65 ± 0.12,0.58 ± 0.08,0.50 ± 0.13,,1.32 ± 0.02
