F1,Accuracy,Jaccard,Train Time,Inference Rate
0.994 ± 0.003,0.991 ± 0.004,0.988 ± 0.006,0.19 ± 0.01,
0.706 ± 0.106,0.641 ± 0.087,0.578 ± 0.096,,1.24 ± 0.15
