F1,Accuracy,Jaccard,Train Time,Inference Rate
0.992 ± 0.004,0.991 ± 0.005,0.985 ± 0.008,0.95 ± 0.05,
0.670 ± 0.041,0.673 ± 0.024,0.537 ± 0.045,,0.93 ± 0.06
