F1,Accuracy,Jaccard,Train Time,Inference Rate
0.779 ± 0.011,0.760 ± 0.010,0.638 ± 0.015,15.15 ± 0.33,
0.630 ± 0.026,0.611 ± 0.011,0.461 ± 0.027,,1.66 ± 0.35
