F1,Accuracy,Jaccard,Train Time,Inference Rate
0.610 ± 0.024,0.526 ± 0.020,0.442 ± 0.024,0.19 ± 0.01,
0.674 ± 0.344,0.707 ± 0.094,0.590 ± 0.305,,1.50 ± 0.58
